timestamp,match,bookmaker,outcome,odds,stake,potential_return
2025-11-02T00:39:35.355512,Slavia Praha v. Arsenal,1xBet,Arsenal,1.33,75.94030300746212,101.00060299992462
2025-11-02T00:39:35.363094,Slavia Praha v. Arsenal,Betfair,Slavia Praha,13.0,7.769277153840355,101.00060299992462
2025-11-02T00:39:35.366345,Slavia Praha v. Arsenal,Betfair,Draw,6.2,16.29041983869752,101.00060299992462
2025-11-02T00:39:35.375629,Napoli v. Eintracht Frankfurt,Unibet (NL),Eintracht Frankfurt,5.6,18.079910693520628,101.2474998837155
2025-11-02T00:39:35.378370,Napoli v. Eintracht Frankfurt,Betfair,Napoli,1.69,59.909763244802086,101.24749988371552
2025-11-02T00:39:35.380978,Napoli v. Eintracht Frankfurt,Unibet (NL),Draw,4.6,22.01032606167729,101.24749988371552
2025-11-02T00:39:35.391701,Bodø/Glimt v. AS Monaco,Coolbet,AS Monaco,2.95,34.18862451220776,100.8564423110129
2025-11-02T00:39:35.394408,Bodø/Glimt v. AS Monaco,Betfair,Bodø/Glimt,2.5,40.34257692440516,100.8564423110129
2025-11-02T00:39:35.396673,Bodø/Glimt v. AS Monaco,1xBet,Draw,3.96,25.468798563387093,100.85644231101288
2025-11-02T00:39:35.404368,Atlético Madrid v. Union Saint-Gilloise,1xBet,Atlético Madrid,1.32,76.68019846639602,101.21786197564275
2025-11-02T00:39:35.407366,Atlético Madrid v. Union Saint-Gilloise,Betfair,Union Saint-Gilloise,12.0,8.434821831303564,101.21786197564276
2025-11-02T00:39:35.410317,Atlético Madrid v. Union Saint-Gilloise,Betsson,Draw,6.8,14.884979702300408,101.21786197564276
2025-11-02T00:39:35.419884,Paris Saint Germain v. Bayern Munich,1xBet,Bayern Munich,2.85,35.18661439199827,100.28185101719507
2025-11-02T00:39:35.422978,Paris Saint Germain v. Bayern Munich,Betfair,Paris Saint Germain,2.46,40.764980088290685,100.28185101719508
2025-11-02T00:39:35.426913,Paris Saint Germain v. Bayern Munich,1xBet,Draw,4.17,24.04840551971105,100.28185101719508
2025-11-02T00:39:35.437434,Pafos FC v. Villarreal,Coolbet,Pafos FC,7.0,14.399469143994692,100.79628400796284
2025-11-02T00:39:35.439781,Pafos FC v. Villarreal,Unibet (NL),Villarreal,1.55,65.02986065029862,100.79628400796285
2025-11-02T00:39:35.443131,Pafos FC v. Villarreal,Betsson,Draw,4.9,20.5706702057067,100.79628400796284
2025-11-02T00:39:35.452520,Ajax v. Galatasaray,Betfair,Ajax,3.35,29.927594529364438,100.25744167337086
2025-11-02T00:39:35.455474,Ajax v. Galatasaray,Coolbet,Galatasaray,2.17,46.201586024594874,100.25744167337088
2025-11-02T00:39:35.458953,Ajax v. Galatasaray,Unibet (NL),Draw,4.2,23.870819446040684,100.25744167337088
2025-11-02T00:39:35.467773,Marseille v. Atalanta BC,Unibet (NL),Atalanta BC,3.6,27.79234399580493,100.05243838489775
2025-11-02T00:39:35.470148,Marseille v. Atalanta BC,Coolbet,Marseille,2.12,47.194546407970634,100.05243838489775
2025-11-02T00:39:35.473029,Marseille v. Atalanta BC,Unibet (NL),Draw,4.0,25.013109596224435,100.05243838489774
2025-11-02T00:39:35.481622,Inter Milan v. FC Kairat,Betsson,FC Kairat,85.0,1.1807873755069385,100.36692691808977
2025-11-02T00:39:35.485095,Inter Milan v. FC Kairat,1xBet,Inter Milan,1.07,93.80086627858857,100.36692691808977
2025-11-02T00:39:35.487296,Inter Milan v. FC Kairat,Matchbook,Draw,20.0,5.018346345904488,100.36692691808977
2025-11-02T00:39:35.496036,Independiente v. Atlético Tucuman,Matchbook,Atlético Tucuman,110.0,1.0662957811775613,117.29253592953174
2025-11-02T00:39:35.498433,Independiente v. Atlético Tucuman,Pinnacle,Independiente,1.25,93.8340287436254,117.29253592953174
2025-11-02T00:39:35.500679,Independiente v. Atlético Tucuman,Betfair,Draw,23.0,5.099675475197033,117.29253592953177
2025-11-02T00:39:35.511009,Godoy Cruz v. San Martin de San Juan,Matchbook,Godoy Cruz,2.28,43.954421040885855,100.21607997321973
2025-11-02T00:39:35.514044,Godoy Cruz v. San Martin de San Juan,BetOnline.ag,San Martin de San Juan,4.54,22.074026425819326,100.21607997321975
2025-11-02T00:39:35.516571,Godoy Cruz v. San Martin de San Juan,1xBet,Draw,2.95,33.971552533294826,100.21607997321975
2025-11-02T00:39:35.525322,IF Elfsborg v. AIK,Unibet (SE),AIK,3.25,31.32380360472343,101.80236171535115
2025-11-02T00:39:35.528238,IF Elfsborg v. AIK,Betfair,IF Elfsborg,2.52,40.3977625854568,101.80236171535114
2025-11-02T00:39:35.530692,IF Elfsborg v. AIK,Betfair,Draw,3.6,28.278433809819763,101.80236171535115
2025-11-02T00:39:35.540606,Djurgardens IF v. IFK Goteborg,Betfair,Djurgardens IF,1.86,53.821128930997084,100.10729981165458
2025-11-02T00:39:35.543384,Djurgardens IF v. IFK Goteborg,Unibet (SE),IFK Goteborg,4.6,21.762456480794476,100.10729981165458
2025-11-02T00:39:35.546125,Djurgardens IF v. IFK Goteborg,Betfair,Draw,4.1,24.416414588208436,100.10729981165458
2025-11-02T00:39:35.555183,GAIS v. Östers IF,Unibet (SE),GAIS,1.47,68.26263652527305,100.34607569215139
2025-11-02T00:39:35.559720,GAIS v. Östers IF,Matchbook,Östers IF,8.6,11.668148336296674,100.3460756921514
2025-11-02T00:39:35.562586,GAIS v. Östers IF,Unibet (SE),Draw,5.0,20.069215138430277,100.34607569215139
2025-11-02T00:39:35.571269,Degerfors IF v. Hammarby IF,Unibet (SE),Degerfors IF,3.05,32.8134637412988,100.08106441096133
2025-11-02T00:39:35.574970,Degerfors IF v. Hammarby IF,888sport,Hammarby IF,2.45,40.84941404529034,100.08106441096133
2025-11-02T00:39:35.578981,Degerfors IF v. Hammarby IF,Matchbook,Draw,3.8,26.337122213410876,100.08106441096132
2025-11-02T00:39:35.588968,Salzburg v. Go Ahead Eagles,Matchbook,Go Ahead Eagles,4.4,22.91824186484443,100.84026420531549
2025-11-02T00:39:35.593945,Salzburg v. Go Ahead Eagles,1xBet,Salzburg,1.89,53.35463714566957,100.84026420531548
2025-11-02T00:39:35.596237,Salzburg v. Go Ahead Eagles,Betsson,Draw,4.25,23.727120989485996,100.84026420531549
2025-11-02T00:39:35.605996,Red Star Belgrade v. Lille,Betfair,Lille,2.42,41.488541593664586,100.40227065666829
2025-11-02T00:39:35.610383,Red Star Belgrade v. Lille,Unibet (SE),Red Star Belgrade,3.2,31.375709580208845,100.4022706566683
2025-11-02T00:39:35.612842,Red Star Belgrade v. Lille,Unibet (SE),Draw,3.7,27.13574882612657,100.4022706566683
2025-11-02T00:39:35.621896,Rangers FC v. AS Roma,1xBet,AS Roma,1.85,54.282722513089006,100.42303664921467
2025-11-02T00:39:35.624546,Rangers FC v. AS Roma,Betfair,Rangers FC,4.8,20.92146596858639,100.42303664921467
2025-11-02T00:39:35.627935,Rangers FC v. AS Roma,Betsson,Draw,4.05,24.795811518324612,100.42303664921468
2025-11-02T00:39:35.635509,Real Betis v. Lyon,Unibet (NL),Lyon,4.1,24.601450384015177,100.86594657446221
2025-11-02T00:39:35.639435,Real Betis v. Lyon,1xBet,Real Betis,2.01,50.182062972369266,100.86594657446221
2025-11-02T00:39:35.643070,Real Betis v. Lyon,Betsson,Draw,4.0,25.216486643615553,100.86594657446221
2025-11-02T00:39:35.652056,Barcelona v. Elche CF,1xBet,Barcelona,1.25,80.92021751735594,101.15027189669492
2025-11-02T00:39:35.654723,Barcelona v. Elche CF,Pinnacle,Elche CF,16.55,6.111798906144708,101.15027189669492
2025-11-02T00:39:35.657344,Barcelona v. Elche CF,Betfair,Draw,7.8,12.96798357649935,101.15027189669493
2025-11-02T00:39:35.666979,Real Betis v. Mallorca,Betfair,Mallorca,6.6,15.288788221970556,100.90600226500567
2025-11-02T00:39:35.669781,Real Betis v. Mallorca,1xBet,Real Betis,1.62,62.287655719139295,100.90600226500567
2025-11-02T00:39:35.672520,Real Betis v. Mallorca,Unibet (NL),Draw,4.5,22.42355605889015,100.90600226500567
2025-11-02T00:39:35.682707,Girona v. Alavés,Unibet (SE),Alavés,3.45,29.010055385277195,100.08469107920632
2025-11-02T00:39:35.685602,Girona v. Alavés,1xBet,Girona,2.49,40.19465505189009,100.08469107920632
2025-11-02T00:39:35.687915,Girona v. Alavés,1xBet,Draw,3.25,30.795289562832714,100.08469107920632
2025-11-02T00:39:35.697328,Atlético Madrid v. Levante,1xBet,Atlético Madrid,1.27,79.36208004232645,100.78984165375459
2025-11-02T00:39:35.699709,Atlético Madrid v. Levante,Unibet (SE),Levante,14.0,7.199274403839614,100.78984165375459
2025-11-02T00:39:35.702745,Atlético Madrid v. Levante,Tipico,Draw,7.5,13.438645553833945,100.78984165375459
2025-11-02T00:39:35.710796,Washington Commanders v. Seattle Seahawks,Marathon Bet,Seattle Seahawks,1.69,59.27710843373494,100.17831325301204
2025-11-02T00:39:35.712852,Washington Commanders v. Seattle Seahawks,Betfair,Washington Commanders,2.46,40.72289156626506,100.17831325301205
2025-11-02T00:39:35.720634,Houston Texans v. Jacksonville Jaguars,Marathon Bet,Houston Texans,1.7,59.036144578313255,100.36144578313254
2025-11-02T00:39:35.723388,Houston Texans v. Jacksonville Jaguars,GTbets,Jacksonville Jaguars,2.45,40.96385542168675,100.36144578313255
2025-11-02T00:39:35.732173,Tampa Bay Buccaneers v. New England Patriots,GTbets,New England Patriots,2.25,44.581280788177345,100.30788177339903
2025-11-02T00:39:35.734674,Tampa Bay Buccaneers v. New England Patriots,Marathon Bet,Tampa Bay Buccaneers,1.81,55.418719211822655,100.307881773399
2025-11-02T00:39:35.744856,FC Porto v. Braga,Betfair,Braga,7.6,13.22631697942573,100.52000904363555
2025-11-02T00:39:35.747357,FC Porto v. Braga,GTbets,FC Porto,1.56,64.43590323309971,100.52000904363555
2025-11-02T00:39:35.749755,FC Porto v. Braga,Betfair,Draw,4.5,22.337779787474567,100.52000904363555
2025-11-02T00:39:35.760023,Gil Vicente v. Santa Clara,1xBet,Gil Vicente,2.46,40.75102844485074,100.24752997433282
2025-11-02T00:39:35.763045,Gil Vicente v. Santa Clara,Betfair,Santa Clara,3.8,26.380928940613902,100.24752997433282
2025-11-02T00:39:35.765557,Gil Vicente v. Santa Clara,BetOnline.ag,Draw,3.05,32.868042614535355,100.24752997433282
2025-11-02T00:39:35.773587,Bristol City v. Blackburn Rovers,LeoVegas (SE),Blackburn Rovers,4.1,24.51423838950118,100.50837739695483
2025-11-02T00:39:35.777310,Bristol City v. Blackburn Rovers,Betfair,Bristol City,2.08,48.32133528699752,100.50837739695484
2025-11-02T00:39:35.779510,Bristol City v. Blackburn Rovers,LeoVegas (SE),Draw,3.7,27.164426323501303,100.50837739695483
2025-11-02T00:39:35.787836,Ipswich Town v. Watford,Betfair,Ipswich Town,1.68,60.18058690744922,101.10338600451468
2025-11-02T00:39:35.789924,Ipswich Town v. Watford,Matchbook,Watford,6.2,16.306997742663658,101.10338600451468
2025-11-02T00:39:35.793550,Ipswich Town v. Watford,LeoVegas (SE),Draw,4.3,23.512415349887135,101.10338600451468
2025-11-02T00:39:35.803624,Leicester City v. Middlesbrough,Betfair,Leicester City,2.3,43.729683490162536,100.57827202737383
2025-11-02T00:39:35.807196,Leicester City v. Middlesbrough,LeoVegas (SE),Middlesbrough,3.55,28.331907613344736,100.57827202737381
2025-11-02T00:39:35.810963,Leicester City v. Middlesbrough,LeoVegas (SE),Draw,3.6,27.938408896492724,100.57827202737381
2025-11-02T00:39:35.819659,Oxford United v. Stoke City,Matchbook,Oxford United,3.5,29.394812680115272,102.88184438040345
2025-11-02T00:39:35.822325,Oxford United v. Stoke City,LeoVegas (SE),Stoke City,2.55,40.345821325648416,102.88184438040345
2025-11-02T00:39:35.826206,Oxford United v. Stoke City,LeoVegas (SE),Draw,3.4,30.25936599423631,102.88184438040345
2025-11-02T00:39:35.833971,Preston North End v. Swansea City,LeoVegas (SE),Preston North End,2.43,41.27639307826638,100.30163518018732
2025-11-02T00:39:35.837023,Preston North End v. Swansea City,Betfair,Swansea City,3.6,27.861565327829812,100.30163518018732
2025-11-02T00:39:35.839688,Preston North End v. Swansea City,LeoVegas (SE),Draw,3.25,30.862041593903793,100.30163518018733
2025-11-02T00:39:35.850248,Queens Park Rangers v. Southampton,Pinnacle,Queens Park Rangers,3.12,32.12480835841235,100.22940207824654
2025-11-02T00:39:35.852615,Queens Park Rangers v. Southampton,Matchbook,Southampton,2.48,40.41508148316393,100.22940207824655
2025-11-02T00:39:35.855220,Queens Park Rangers v. Southampton,LeoVegas (SE),Draw,3.65,27.46011015842371,100.22940207824654
2025-11-02T00:39:35.863560,Isaac Dulgarian v. Yadier DelValle,Unibet (SE),Isaac Dulgarian,1.6,64.59409901650275,103.3505584264044
2025-11-02T00:39:35.865662,Isaac Dulgarian v. Yadier DelValle,William Hill,Yadier DelValle,3.1,33.338889814969164,103.35055842640442
2025-11-02T00:39:35.868451,Isaac Dulgarian v. Yadier DelValle,1xBet,Draw,50.0,2.0670111685280883,103.35055842640442
2025-11-02T00:39:35.877586,Ilia Topuria v. Arman Tsarukyan,Unibet (SE),Arman Tsarukyan,3.9,26.43413780081705,103.0931374231865
2025-11-02T00:39:35.879861,Ilia Topuria v. Arman Tsarukyan,1xBet,Ilia Topuria,1.43,72.09310309313742,103.0931374231865
2025-11-02T00:39:35.882505,Ilia Topuria v. Arman Tsarukyan,1xBet,Draw,70.0,1.4727591060455216,103.09313742318652
2025-11-02T00:39:35.890768,Islam Makhachev v. Ilia Topuria,1xBet,Ilia Topuria,3.67,33.28278531389511,122.14782210199506
2025-11-02T00:39:35.893623,Islam Makhachev v. Ilia Topuria,Unibet (SE),Islam Makhachev,1.88,64.97224579893354,122.14782210199505
2025-11-02T00:39:35.895913,Islam Makhachev v. Ilia Topuria,1xBet,Draw,70.0,1.7449688871713578,122.14782210199505
2025-11-02T00:39:35.903662,Ilia Topuria v. Paddy Pimblett,BetOnline.ag,Ilia Topuria,1.2,83.56164383561644,100.27397260273972
2025-11-02T00:39:35.907234,Ilia Topuria v. Paddy Pimblett,Unibet (SE),Paddy Pimblett,6.1,16.43835616438356,100.2739726027397
2025-11-02T00:39:35.916434,Arkansas Razorbacks v. Mississippi State Bulldogs,Unibet (NL),Arkansas Razorbacks,3.4,46.54088050314466,158.23899371069186
2025-11-02T00:39:35.919678,Arkansas Razorbacks v. Mississippi State Bulldogs,GTbets,Mississippi State Bulldogs,2.96,53.45911949685535,158.23899371069183
2025-11-02T00:39:35.928775,Michigan Wolverines v. Purdue Boilermakers,GTbets,Michigan Wolverines,1.13,90.68425391591096,102.47320692497938
2025-11-02T00:39:35.930907,Michigan Wolverines v. Purdue Boilermakers,MyBookie.ag,Purdue Boilermakers,11.0,9.315746084089035,102.4732069249794
2025-11-02T00:39:35.939566,Colorado Buffaloes v. Arizona Wildcats,MyBookie.ag,Arizona Wildcats,1.22,86.76789587852494,105.85683297180043
2025-11-02T00:39:35.942892,Colorado Buffaloes v. Arizona Wildcats,Unibet (NL),Colorado Buffaloes,8.0,13.232104121475054,105.85683297180043
2025-11-02T00:39:35.951039,San Diego State Aztecs v. Wyoming Cowboys,Coolbet,San Diego State Aztecs,1.57,66.73728813559322,104.77754237288136
2025-11-02T00:39:35.953110,San Diego State Aztecs v. Wyoming Cowboys,Unibet (NL),Wyoming Cowboys,3.15,33.26271186440678,104.77754237288136
2025-11-02T00:39:35.961314,Florida State Seminoles v. Wake Forest Demon Deacons,Unibet (NL),Florida State Seminoles,1.28,78.94736842105262,101.05263157894736
2025-11-02T00:39:35.963925,Florida State Seminoles v. Wake Forest Demon Deacons,Matchbook,Wake Forest Demon Deacons,4.8,21.05263157894737,101.05263157894737
2025-11-02T00:39:35.971237,NC State Wolfpack v. Georgia Tech Yellow Jackets,Unibet (SE),Georgia Tech Yellow Jackets,1.66,63.192904656319286,104.90022172949001
2025-11-02T00:39:35.973992,NC State Wolfpack v. Georgia Tech Yellow Jackets,BetOnline.ag,NC State Wolfpack,2.85,36.80709534368071,104.90022172949001
